ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;M. BONY Clément (LFI);M. MILLOT Georges (LO);M. GRÉGOIRE Emmanuel   (PS);Mme MAGNAN Annick  (RN);Mme MAZETIER Sandrine (LREM Buzyn);Mme MONTANDON Valérie  (LR);M. REBOURG Patrick (LREM Villani);Mme ELBAZ Caroline  (Marcel Campion);Mme PIERRE-MARIE Emmanuelle  (Les écologiste);geo_shape;geo_point_2d;st_area(shape);st_perimeter(shape);Taux abstention;Taux d'abstention en %
11;Municipales;2020;1;15/03/20;8;46;12;11;44;1371;629;629;2;9;618;19;3;230;7;95;148;44;5;67;"{""coordinates"":[[[2.3845631077190177,48.84542373404412],[2.3849976973187146,48.84376404637176],[2.385663162357011,48.84311762939067],[2.385532886136203,48.8430371206084],[2.3852864648820216,48.843272452606556],[2.384818688562793,48.8436455852114],[2.3834134625708856,48.844830931430145],[2.3834242834448567,48.84487559264942],[2.3834646961586143,48.844894702726435],[2.38451901679332,48.845441400831845],[2.3845631077190177,48.84542373404412]]],""type"":""Polygon""}";48.844476861219455, 2.3844224804822733;12015,57859;651,1616292;54;54 %
12;Municipales;2020;1;15/03/20;8;46;12;12;17;1541;694;694;4;10;680;29;4;232;13;130;123;67;4;78;"{""coordinates"":[[[2.38519978011648,48.85000978874491],[2.3851306089109023,48.84996340437673],[2.386079795589817,48.84866458401407],[2.3859004633340346,48.84850486913604],[2.385894316237622,48.848478147435955],[2.3871130732380443,48.846910337355745],[2.387173469828539,48.84687799023103],[2.3861496807156386,48.84631886599607],[2.3852327400169697,48.8458259806315],[2.3849459716616805,48.84586740781044],[2.3847047200711806,48.84574788566002],[2.3845631077190177,48.84542373404412],[2.38451901679332,48.845441400831845],[2.3834646961586143,48.844894702726435],[2.3833972102482894,48.84492770490258],[2.384340234513652,48.85013198618082],[2.384394993888553,48.85013708847574],[2.38519978011648,48.85000978874491]]],""type"":""Polygon""}";48.84748121343351, 2.385001821236394;80809,14892;1415,780325;55;55 %
13;Municipales;2020;1;15/03/20;8;46;12;13;33;1471;723;723;9;11;703;28;5;280;6;93;126;70;8;87;"{""coordinates"":[[[2.3873977422059514,48.8496716099759],[2.3874631806102404,48.84970192136556],[2.3874660219961035,48.84966145510922],[2.3896049766729783,48.84932848453867],[2.388526607121857,48.84802159179624],[2.3891027632577924,48.8473576858093],[2.387663320816855,48.84666434090592],[2.3876710170843807,48.84657806280504],[2.3876018924864377,48.84654182918257],[2.3875587958846674,48.84654840860487],[2.387173469828539,48.84687799023103],[2.3871130732380443,48.846910337355745],[2.385894316237622,48.848478147435955],[2.3859004633340346,48.84850486913604],[2.386079795589817,48.84866458401407],[2.3851306089109023,48.84996340437673],[2.38519978011648,48.85000978874491],[2.3873977422059514,48.8496716099759]]],""type"":""Polygon""}";48.84848324245488, 2.387440767450371;64957,0098;1178,53872;51;51 %
14;Municipales;2020;1;15/03/20;8;46;12;14;25;1387;577;577;0;8;569;13;2;166;9;111;153;53;4;58;"{""coordinates"":[[[2.3920548153382377,48.846395899764666],[2.392122622307277,48.84633354212147],[2.3921527983803603,48.846272204682286],[2.3892269256388254,48.84507555583866],[2.3883250804084577,48.8458040832896],[2.387735123168474,48.84592510207235],[2.38721273775244,48.846417704890904],[2.3871835298258963,48.84641903652323],[2.3863869174428993,48.84613675728788],[2.3861496807156386,48.84631886599607],[2.387173469828539,48.84687799023103],[2.3875587958846674,48.84654840860487],[2.3876018924864377,48.84654182918257],[2.3876710170843807,48.84657806280504],[2.387663320816855,48.84666434090592],[2.3891027632577924,48.8473576858093],[2.3908420485523503,48.84747647876202],[2.3920548153382377,48.846395899764666]]],""type"":""Polygon""}";48.846398488896924, 2.3895418193485156;58723,42508;1152,103111;58;58 %
15;Municipales;2020;1;15/03/20;8;46;12;15;51;1561;646;646;1;2;643;33;11;253;6;93;136;39;3;69;"{""coordinates"":[[[2.3931394194327096,48.84879478715111],[2.395384061676625,48.848463421260305],[2.394839243160901,48.846332799712236],[2.3944763359413543,48.84634373612165],[2.3944179940629104,48.84634746363832],[2.3937058813322625,48.847150982527594],[2.393669480751944,48.84715034118328],[2.3920548153382377,48.846395899764666],[2.3908420485523503,48.84747647876202],[2.3891027632577924,48.8473576858093],[2.388526607121857,48.84802159179624],[2.3896049766729783,48.84932848453867],[2.3931394194327096,48.84879478715111]]],""type"":""Polygon""}";48.84792727125946, 2.392096835319768;100412,3898;1485,851604;59;59 %
16;Municipales;2020;1;15/03/20;8;46;12;16;32;1371;634;634;3;6;625;20;6;176;5;117;177;50;5;69;"{""coordinates"":[[[2.3974468460147076,48.8482489021166],[2.399130957470874,48.84809056071216],[2.3990481171665268,48.84765182287996],[2.3975422534637936,48.84781911183642],[2.397524791849243,48.84781675753392],[2.397477206956555,48.84768318413866],[2.3967830146644173,48.84738583192011],[2.3982164009736833,48.845361142370045],[2.3981627252722535,48.845321404117264],[2.395100328518742,48.84557567435741],[2.3946147828972904,48.84613625840303],[2.394458519497846,48.84631017012949],[2.3944763359413543,48.84634373612165],[2.394839243160901,48.846332799712236],[2.395384061676625,48.848463421260305],[2.3960135684896193,48.848380729624814],[2.3974468460147076,48.8482489021166]]],""type"":""Polygon""}";48.84688168872111, 2.3964413549023877;63101,34992;1362,760081;54;54 %
17;Municipales;2020;1;15/03/20;8;46;12;17;22;1349;600;600;1;9;590;17;5;165;6;112;175;54;3;53;"{""coordinates"":[[[2.3990481171665268,48.84765182287996],[2.3989859388781682,48.84740559020778],[2.3989998593529753,48.84736902223705],[2.402332964672632,48.84510553685254],[2.4023130989460806,48.84509734160389],[2.402268556540335,48.84499156974381],[2.402202042646666,48.844968311015684],[2.398251362492059,48.84531377646355],[2.3982164009736833,48.845361142370045],[2.3967830146644173,48.84738583192011],[2.397477206956555,48.84768318413866],[2.397524791849243,48.84781675753392],[2.3975422534637936,48.84781911183642],[2.3990481171665268,48.84765182287996]]],""type"":""Polygon""}";48.8462719375934, 2.399180728133766;61352,0793;1138,563049;56;56 %
18;Municipales;2020;1;15/03/20;8;46;12;18;25;1403;681;681;3;9;669;28;4;249;2;91;148;54;3;90;"{""coordinates"":[[[2.3944763359413543,48.84634373612165],[2.394458519497846,48.84631017012949],[2.3946147828972904,48.84613625840303],[2.3934429011351104,48.84559054537249],[2.3933670478406177,48.84567980770693],[2.3903004451880747,48.84421176681656],[2.3902668400968063,48.84421799087813],[2.3899481775051123,48.84448610525994],[2.3892269256388254,48.84507555583866],[2.3921527983803603,48.846272204682286],[2.392122622307277,48.84633354212147],[2.3920548153382377,48.846395899764666],[2.393669480751944,48.84715034118328],[2.3937058813322625,48.847150982527594],[2.3944179940629104,48.84634746363832],[2.3944763359413543,48.84634373612165]]],""type"":""Polygon""}";48.84566225079768, 2.3920040677434153;47085,36194;1069,783062;52;52 %
19;Municipales;2020;1;15/03/20;8;46;12;19;26;1578;632;632;4;6;622;40;9;214;4;110;132;46;4;63;"{""coordinates"":[[[2.3934429011351104,48.84559054537249],[2.394777991747937,48.84361389999451],[2.391956791686845,48.84280253678618],[2.3912570155848702,48.84330761919308],[2.3898383423063714,48.84264552551994],[2.3894590476088515,48.841897272260304],[2.3894666179898474,48.84187632703729],[2.390007950171019,48.84174406951347],[2.3900170918016834,48.84172261693284],[2.389805289780359,48.84134796782174],[2.389785451864279,48.841339780482876],[2.3894580707234114,48.84137711349832],[2.389272431742344,48.84101560337866],[2.3882630212865,48.841246679804584],[2.388231078943331,48.84124418351357],[2.3876406363931824,48.84084275389235],[2.3868760817067174,48.841665581927806],[2.38590588028224,48.84265993348978],[2.3899481775051123,48.84448610525994],[2.3902668400968063,48.84421799087813],[2.3903004451880747,48.84421176681656],[2.3933670478406177,48.84567980770693],[2.3934429011351104,48.84559054537249]]],""type"":""Polygon""}";48.84326641032436, 2.390283700020149;135254,4486;1989,301738;60;60 %
20;Municipales;2020;1;15/03/20;8;46;12;20;22;1352;665;665;4;8;653;26;2;214;4;115;152;70;3;67;"{""coordinates"":[[[2.3903404602695804,48.839073209670765],[2.3919398507262786,48.83919017504769],[2.3931432821461494,48.838541231690336],[2.3936204567599986,48.83802232097473],[2.394253157518762,48.83789616867057],[2.3932841204997186,48.83690091409154],[2.3912613172083828,48.83732970781862],[2.3911365461615754,48.83735645479079],[2.389679663789565,48.83857622150991],[2.389286495047993,48.83898899437953],[2.3901200638772715,48.839335159399795],[2.3903404602695804,48.839073209670765]]],""type"":""Polygon""}";48.83815432958515, 2.391818450070533;52154,37501;977,8355768;51;51 %
